,sequence,probability,state
89,Ti/BO/U/B-/X/V1/RV/NC/V2/OL/RB,9.862967906994388e-15,n
90,Ti/BO/U/B-/X/V1/RV/OE,8.313612795167683e-12,n
91,Ti/BO/U/B-/X/V1/RV/OE/RB,2.078403198791921e-12,n
92,Ti/BO/U/B-/X/V1,3.778914906894401e-11,ok
93,Ti/BO/U/B-/X,0.0,n
94,Ti/BO/U/B-/X/RV,0.0,n
95,Ti/BO/U/B-/X/RV/NC/LM,0.0,n
96,Ti/BO/U/B-/X/RV/NC/LM/RB,0.0,n
97,Ti/BO/U/B-/X/RV/NC,0.0,n
98,Ti/BO/U/B-/X/RV/NC/RB,0.0,n
99,Ti/BO/U/B-/RV/NC,0.0,n
100,Ti/BO/U/B-/RV/NC/RB,0.0,n
101,Ti/BO/U/B-/RV/NC/LM,0.0,n
102,Ti/BO/U/B-/RV/NC/LM/RB,0.0,n
103,Ti/BO/U/B-/RV,0.0,n
104,Ti/BO/U/B-,0.0,n
105,Ti/BO/U/B-/V1,3.7751359919875065e-08,ok
106,Ti/BO/U/B-/V1/RV,2.4160870348720042e-08,n
107,Ti/BO/U/B-/V1/RV/NC/LM,5.4361958284620096e-09,n
108,Ti/BO/U/B-/V1/RV/NC/LM/RB,1.3590489571155024e-09,n
109,Ti/BO/U/B-/V1/RV/NC/V2,0.0,n
110,Ti/BO/U/B-/V1/RV/NC/V2/OL,5.436195828462009e-11,n
111,Ti/BO/U/B-/V1/RV/NC/V2/OL/RB,1.3590489571155023e-11,n
112,Ti/BO/U/B-/V1/RV/NC,5.381833870177389e-09,n
113,Ti/BO/U/B-/V1/RV/NC/RB,1.3454584675443473e-09,n
114,Ti/BO,6.053535145632e-05,ok
115,Ti/DC/B-/B2/X,0.0,n
116,Ti/DC/B-/B2/X/NC/LM,0.0,n
117,Ti/DC/B-/B2/X/NC/LM/RB,0.0,n
118,Ti/DC/B-/B2/X/NC/B4,0.0,n
119,Ti/DC/B-/B2/X/NC/B4/RB,0.0,n
120,Ti/DC/B-/B2/X/NC,0.0,n
121,Ti/DC/B-/B2/X/NC/RB,0.0,n
122,Ti/DC/B-/B2/X/V1/OE/RB,0.0,n
123,Ti/DC/B-/B2/X/V1/OE,0.0,n
124,Ti/DC/B-/B2/X/V1/NC/B4/V2/OL,0.0,n
