,sequence,probability,state,ok,cd,,ok,cd,
75,Ti/BO/B6/BC/SF/V1/BD,0,n,0,0,,,,
76,Ti/BO/B6/BC/X/SF/LM,0,n,0,0,,,,
77,Ti/BO/B6/BC/X/SF/LM/RB,0,n,0,0,,,,
78,Ti/BO/B6/BC/X/SF,0,n,0,0,,,,
79,Ti/BO/B6/BC/X/SF/RB,0,n,0,0,,,,
80,Ti/BO/B6/BC/X/SF/BD,0,n,0,0,,,,
81,Ti/BO/B6/BC/X/SF/BD/RB,0,n,0,0,,,,
82,Ti/BO/B6/BC/X/SF/V1/OE/RB,2.8514571949985E-08,n,0,2.8514571949985E-08,,,,
83,Ti/BO/B6/BC/X/SF/V1/OE,1.1405828779994E-07,n,0,1.1405828779994E-07,,,,
84,Ti/BO/B6/BC/X/SF/V1/RB,3.81097254111549E-09,n,0,3.81097254111549E-09,,,,
85,Ti/BO/B6/BC/X/SF/V1,1.5243890164462E-08,n,0,1.5243890164462E-08,,,,
86,Ti/BO/B6/BC/X/SF/V1/V2/OL/RB,3.84946721324797E-11,n,0,3.84946721324797E-11,,,,
87,Ti/BO/B6/BC/X/SF/V1/V2/OL,1.53978688529919E-10,n,0,1.53978688529919E-10,,,,
88,Ti/BO/B6/BC/X/SF/V1/V2,0,n,0,0,,,,
89,Ti/BO/B6/BC/X/SF/V1/BD/V2,0,n,0,0,,,,
90,Ti/BO/B6/BC/X/SF/V1/BD/V2/OL/RB,1.15986120816558E-08,n,0,1.15986120816558E-08,,,,
91,Ti/BO/B6/BC/X/SF/V1/BD/V2/OL,4.63944483266234E-08,n,0,4.63944483266234E-08,,,,
92,Ti/BO/B6/BC/X/SF/V1/BD,5.15493870295815E-09,n,0,5.15493870295815E-09,,,,
93,Ti/BO/B6/BC/X/SF/V1/BD/RB,1.28873467573954E-09,n,0,1.28873467573954E-09,,,,
94,Ti/BO/B6/BC/X/SF/V1/LM/RB,1.67368139706434E-08,n,0,1.67368139706434E-08,,,,
95,Ti/BO/B6/BC/X/SF/V1/LM,6.69472558825734E-08,n,0,6.69472558825734E-08,,,,
96,Ti/BO/B6/BC/X/V1,0,n,0,0,,,,
97,Ti/BO/B6/BC/X/V1/NC/RB,0,n,0,0,,,,
98,Ti/BO/B6/BC/X/V1/NC,0,n,0,0,,,,
99,Ti/BO/B6/BC/X/V1/NC/V2,0,n,0,0,,,,
100,Ti/BO/B6/BC/X/V1/NC/V2/OL,0,n,0,0,,,,
101,Ti/BO/B6/BC/X/V1/NC/V2/OL/RB,0,n,0,0,,,,
102,Ti/BO/B6/BC/X/V1/NC/BD,0,n,0,0,,,,
103,Ti/BO/B6/BC/X/V1/NC/BD/RB,0,n,0,0,,,,
104,Ti/BO/B6/BC/X/V1/NC/BD/V2,0,n,0,0,,,,
105,Ti/BO/B6/BC/X/V1/NC/BD/V2/OL/RB,0,n,0,0,,,,
106,Ti/BO/B6/BC/X/V1/NC/BD/V2/OL,0,n,0,0,,,,
107,Ti/BO/B6/BC/X/V1/NC/LM,0,n,0,0,,,,
108,Ti/BO/B6/BC/X/V1/NC/LM/RB,0,n,0,0,,,,
109,Ti/BO/B6/BC/X/V1/OE/RB,0,n,0,0,,,,
110,Ti/BO/B6/BC/X/V1/OE,0,n,0,0,,,,
111,Ti/BO/B6/BC/X/NC/LM,0,n,0,0,,,,
112,Ti/BO/B6/BC/X/NC/LM/RB,0,n,0,0,,,,
113,Ti/BO/B6/BC/X/NC/RB,0,n,0,0,,,,
114,Ti/BO/B6/BC/X/NC,0,n,0,0,,,,
115,Ti/BO/B6/BC/X/NC/BD/RB,0,n,0,0,,,,
116,Ti/BO/B6/BC/X/NC/BD,0,n,0,0,,,,
117,Ti/BO/B6/BC/X,0,n,0,0,,,,
