,sequence,probability,state,Ti/BO/U,Ti/BO/U cd,Ti/DC,Ti/DC cd,,,,,,Ti/BO/U split fraction,,
61,Ti/BO/U/B-/B2/X/V1,0,n,0,0,0,0,,,,,,,,
62,Ti/BO/U/B-/B2/X/SF/LM,0,n,0,0,0,0,,,,,,,,
63,Ti/BO/U/B-/B2/X/SF/LM/RB,0,n,0,0,0,0,,,,,,,,
64,Ti/BO/U/B-/B2/X/SF,0,n,0,0,0,0,,,,,,,,
65,Ti/BO/U/B-/B2/X/SF/RB,0,n,0,0,0,0,,,,,,,,
66,Ti/BO/U/B-/B2/X/SF/B4,0,n,0,0,0,0,,,,,,,,
67,Ti/BO/U/B-/B2/X/SF/B4/RB,0,n,0,0,0,0,,,,,,,,
68,Ti/BO/U/B-/B2/X/SF/V1/LM,1.52309485569405E-11,n,1.52309485569405E-11,1.52309485569405E-11,0,0,,,,,,,,
69,Ti/BO/U/B-/B2/X/SF/V1/LM/RB,3.80773713923512E-12,n,3.80773713923512E-12,3.80773713923512E-12,0,0,,,,,,,,
70,Ti/BO/U/B-/B2/X/SF/V1/B4/V2/OL,4.66067025842379E-12,n,4.66067025842379E-12,4.66067025842379E-12,0,0,,,,,,,,
71,Ti/BO/U/B-/B2/X/SF/V1/B4/V2/OL/RB,1.16516756460595E-12,n,1.16516756460595E-12,1.16516756460595E-12,0,0,,,,,,,,
72,Ti/BO/U/B-/B2/X/SF/V1/B4/V2,0,n,0,0,0,0,,,,,,,,
73,Ti/BO/U/B-/B2/X/SF/V1/B4/RB,1.29463062733994E-13,n,1.29463062733994E-13,1.29463062733994E-13,0,0,,,,,,,,
74,Ti/BO/U/B-/B2/X/SF/V1/B4,5.17852250935976E-13,n,5.17852250935976E-13,5.17852250935976E-13,0,0,,,,,,,,
75,Ti/BO/U/B-/B2/X/SF/V1,9.95190178710491E-12,n,9.95190178710491E-12,9.95190178710491E-12,0,0,,,,,,,,
76,Ti/BO/U/B-/B2/X/SF/V1/RB,2.48797544677623E-12,n,2.48797544677623E-12,2.48797544677623E-12,0,0,,,,,,,,
77,Ti/BO/U/B-/B2/X/SF/V1/V2,0,n,0,0,0,0,,,,,,,,
78,Ti/BO/U/B-/B2/X/SF/V1/V2/OL,1.00524260475807E-13,n,1.00524260475807E-13,1.00524260475807E-13,0,0,,,,,,,,
79,Ti/BO/U/B-/B2/X/SF/V1/V2/OL/RB,2.51310651189518E-14,n,2.51310651189518E-14,2.51310651189518E-14,0,0,,,,,,,,
80,Ti/BO/U/B-/B2/X/SF/V1/OE,1.15545126983686E-11,n,1.15545126983686E-11,1.15545126983686E-11,0,0,,,,,,,,
81,Ti/BO/U/B-/B2/X/SF/V1/OE/RB,2.88862817459216E-12,n,2.88862817459216E-12,2.88862817459216E-12,0,0,,,,,,,,
82,Ti/BO/U/B-/X/V1/RV,1.753416516799E-11,n,1.753416516799E-11,1.753416516799E-11,0,0,,,,,,,,
83,Ti/BO/U/B-/X/V1/RV/NC/LM,3.94518716279775E-12,n,3.94518716279775E-12,3.94518716279775E-12,0,0,,,,,,,,
84,Ti/BO/U/B-/X/V1/RV/NC/LM/RB,9.86296790699439E-13,n,9.86296790699439E-13,9.86296790699439E-13,0,0,,,,,,,,
85,Ti/BO/U/B-/X/V1/RV/NC/RB,9.76433822792444E-13,n,9.76433822792444E-13,9.76433822792444E-13,0,0,,,,,,,,
86,Ti/BO/U/B-/X/V1/RV/NC,3.90573529116978E-12,n,3.90573529116978E-12,3.90573529116978E-12,0,0,,,,,,,,
87,Ti/BO/U/B-/X/V1/RV/NC/V2,0,n,0,0,0,0,,,,,,,,
88,Ti/BO/U/B-/X/V1/RV/NC/V2/OL,3.94518716279776E-14,n,3.94518716279776E-14,3.94518716279776E-14,0,0,,,,,,,,
89,Ti/BO/U/B-/X/V1/RV/NC/V2/OL/RB,9.86296790699439E-15,n,9.86296790699439E-15,9.86296790699439E-15,0,0,,,,,,,,
90,Ti/BO/U/B-/X/V1/RV/OE,8.31361279516768E-12,n,8.31361279516768E-12,8.31361279516768E-12,0,0,,,,,,,,
91,Ti/BO/U/B-/X/V1/RV/OE/RB,2.07840319879192E-12,n,2.07840319879192E-12,2.07840319879192E-12,0,0,,,,,,,,
92,Ti/BO/U/B-/X/V1,3.7789149068944E-11,ok,3.7789149068944E-11,0,0,0,,,,,,,,
93,Ti/BO/U/B-/X,0,n,0,0,0,0,,,,,,,,
94,Ti/BO/U/B-/X/RV,0,n,0,0,0,0,,,,,,,,
95,Ti/BO/U/B-/X/RV/NC/LM,0,n,0,0,0,0,,,,,,,,
96,Ti/BO/U/B-/X/RV/NC/LM/RB,0,n,0,0,0,0,,,,,,,,
97,Ti/BO/U/B-/X/RV/NC,0,n,0,0,0,0,,,,,,,,
98,Ti/BO/U/B-/X/RV/NC/RB,0,n,0,0,0,0,,,,,,,,
99,Ti/BO/U/B-/RV/NC,0,n,0,0,0,0,,,,,,,,
100,Ti/BO/U/B-/RV/NC/RB,0,n,0,0,0,0,,,,,,,,
101,Ti/BO/U/B-/RV/NC/LM,0,n,0,0,0,0,,,,,,,,
102,Ti/BO/U/B-/RV/NC/LM/RB,0,n,0,0,0,0,,,,,,,,
103,Ti/BO/U/B-/RV,0,n,0,0,0,0,,,,,,,,
104,Ti/BO/U/B-,0,n,0,0,0,0,,,,,,,,
105,Ti/BO/U/B-/V1,3.77513599198751E-08,ok,3.77513599198751E-08,0,0,0,,,,,,,,
106,Ti/BO/U/B-/V1/RV,2.416087034872E-08,n,2.416087034872E-08,2.416087034872E-08,0,0,,,,,,,,
107,Ti/BO/U/B-/V1/RV/NC/LM,5.43619582846201E-09,n,5.43619582846201E-09,5.43619582846201E-09,0,0,,,,,,,,
108,Ti/BO/U/B-/V1/RV/NC/LM/RB,1.3590489571155E-09,n,1.3590489571155E-09,1.3590489571155E-09,0,0,,,,,,,,
109,Ti/BO/U/B-/V1/RV/NC/V2,0,n,0,0,0,0,,,,,,,,
110,Ti/BO/U/B-/V1/RV/NC/V2/OL,5.43619582846201E-11,n,5.43619582846201E-11,5.43619582846201E-11,0,0,,,,,,,,
111,Ti/BO/U/B-/V1/RV/NC/V2/OL/RB,1.3590489571155E-11,n,1.3590489571155E-11,1.3590489571155E-11,0,0,,,,,,,,
112,Ti/BO/U/B-/V1/RV/NC,5.38183387017739E-09,n,5.38183387017739E-09,5.38183387017739E-09,0,0,,,,,,,,
113,Ti/BO/U/B-/V1/RV/NC/RB,1.34545846754435E-09,n,1.34545846754435E-09,1.34545846754435E-09,0,0,,,,,,,,
114,Ti/BO,6.053535145632E-05,ok,0,0,0,0,,,,,,,,
115,Ti/DC/B-/B2/X,0,n,0,0,0,0,,,,,,,,
116,Ti/DC/B-/B2/X/NC/LM,0,n,0,0,0,0,,,,,,,,
117,Ti/DC/B-/B2/X/NC/LM/RB,0,n,0,0,0,0,,,,,,,,
118,Ti/DC/B-/B2/X/NC/B4,0,n,0,0,0,0,,,,,,,,
119,Ti/DC/B-/B2/X/NC/B4/RB,0,n,0,0,0,0,,,,,,,,
120,Ti/DC/B-/B2/X/NC,0,n,0,0,0,0,,,,,,,,
121,Ti/DC/B-/B2/X/NC/RB,0,n,0,0,0,0,,,,,,,,
122,Ti/DC/B-/B2/X/V1/OE/RB,0,n,0,0,0,0,,,,,,,,
123,Ti/DC/B-/B2/X/V1/OE,0,n,0,0,0,0,,,,,,,,
124,Ti/DC/B-/B2/X/V1/NC/B4/V2/OL,0,n,0,0,0,0,,,,,,,,
125,Ti/DC/B-/B2/X/V1/NC/B4/V2/OL/RB,0,n,0,0,0,0,,,,,,,,
